Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita),Mapped_Region
saint petersburg,2020,7.2,34.09,4.86,2.03,1.32,1.25,0.68,6.5,Saint Petersburg
arkhangelsk oblast,2020,6.03,51.87,9.58,1.59,1.16,0.56,0.84,9.3,Arkhangelsk Oblast
adygea,2020,1.69,73.78,2.94,0.84,0.5,0.51,0.22,5.9,Adygea
kalmykia,2020,0.96,20.81,3.83,0.24,0.38,0.08,0.2,3.3,Kalmykia
republic of crimea,2020,4.9,56.78,4.21,1.8,1.04,0.62,0.38,6.4,Republic of Crimea
Krasnodar Krai,2020,3.87,42.37,3.36,1.66,0.78,0.36,0.35,5.1,Krasnodar Krai
Astrakhan Oblast,2020,1.9,35.95,4.03,0.61,0.58,0.24,0.37,4.7,Astrakhan Oblast
Volgograd Oblast,2020,2.23,34.83,3.05,1.0,0.54,0.25,0.37,4.3,Volgograd Oblast
Rostov Oblast,2020,2.11,30.05,2.67,1.07,0.58,0.35,0.28,3.8,Rostov Oblast
sevastopol,2020,5.95,40.94,5.44,3.01,1.28,0.56,0.5,6.6,Sevastopol
dagestan,2020,0.25,5.06,1.02,0.09,0.21,0.0,0.01,0.8,Dagestan
ingushetia,2020,0.02,0.38,0.3,0.0,0.03,0.0,0.01,0.2,Ingushetia
kabardinobalkaria,2020,0.34,8.2,0.51,0.17,0.17,0.02,0.03,0.8,Kabardino-Balkaria
karachaycherkessia,2020,0.53,26.23,1.05,0.21,0.19,0.02,0.09,2.0,Karachay-Cherkessia
north ossetiaalania,2020,0.4,3.89,0.44,0.41,0.13,0.03,0.04,0.7,North Ossetia-Alania
chechnya,2020,0.04,1.3,0.27,0.0,0.02,0.0,0.0,0.2,Chechnya
Stavropol Krai,2020,1.57,20.87,2.14,0.8,0.42,0.15,0.28,2.8,Stavropol Krai
bashkortostan,2020,2.32,40.61,5.6,0.73,0.54,0.25,0.72,5.6,Bashkortostan
mari el,2020,2.38,41.54,6.04,0.56,0.62,0.26,0.76,6.2,Mari El
mordovia,2020,1.85,38.6,5.29,0.58,0.41,0.26,0.37,5.2,Mordovia
tatarstan,2020,2.48,46.79,6.74,0.66,0.75,0.3,0.58,6.5,Tatarstan
udmurtia,2020,3.03,92.91,8.58,0.76,0.72,0.67,0.67,9.9,Udmurtia
chuvashia,2020,2.27,38.92,6.76,0.52,0.52,0.25,1.03,6.3,Chuvashia
Perm Krai,2020,3.62,51.59,5.87,0.85,0.8,0.42,0.62,6.8,Perm Krai
Kirov Oblast,2020,3.85,66.26,8.01,1.06,0.72,0.35,0.61,8.5,Kirov Oblast
