Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita),males ,females ,2019,2020,2021,population ,GRDP_per_capita,Density,GRDP,Total consumption for Region,Salary
2022,3.44,38.35,4.78,1.15,0.81,0.53,0.96,5.8,64.05,73.85,72.21,70.2,68.97,1441.0,674.432,57.42,971.86,8357.8,48.332
2022,4.36,52.61,7.48,1.58,1.07,0.56,1.35,8.1,62.81,73.04,71.24,69.76,67.87,1238.0,516.489,14.26,639.41,10027.8,44.643
2022,2.77,45.85,4.37,1.0,0.7,0.56,0.68,5.7,64.21,73.9,72.96,70.98,69.05,1211.0,496.34,31.56,601.07,6902.7,40.376
2022,2.43,35.72,3.44,1.13,0.6,0.27,0.58,4.6,65.7,74.14,74.07,71.98,69.96,2462.0,491.187,21.75,1209.3,11325.199999999999,41.263
2022,4.75,58.29,9.31,1.21,0.93,0.52,1.93,9.4,63.85,74.38,71.82,70.71,69.08,1145.0,903.488,7.76,1034.49,10763.0,52.557
2022,2.91,39.12,4.39,1.29,0.81,0.54,0.71,5.5,64.74,74.26,73.63,71.91,69.49,2297.0,600.596,43.55,1379.57,12633.5,45.142
2022,2.53,36.44,6.0,0.48,0.34,0.21,0.45,5.6,62.28,71.54,68.88,68.23,66.82,1048.0,549.172,2.28,575.53,5868.799999999999,58.838
2022,1.71,45.51,3.27,0.96,0.58,0.31,0.34,4.7,,,,,,,,,,,39.591
2022,2.27,54.71,4.42,0.71,0.49,0.29,0.49,5.7,62.48,73.35,70.29,69.15,67.86,221.0,434.628,2.27,96.05,1259.7,36.612
2022,2.39,43.59,6.15,0.61,0.56,0.26,0.51,6.0,,,,,,,,,,,44.358
2022,5.99,53.55,9.69,1.82,1.13,0.68,1.73,9.5,64.33,75.08,72.3,71.39,69.6,1076.0,1175.423,2.31,1264.76,10222.0,69.186
2022,2.36,54.07,6.0,0.79,0.63,0.29,0.91,6.7,,,,,,,,,,,47.524
2022,2.79,45.56,4.86,1.03,0.66,0.46,1.15,6.1,,,,,,,,,,,40.354
2022,1.97,34.16,6.49,0.39,0.41,0.27,0.37,5.6,,,,,,,,,,,53.832
2022,0.02,1.53,0.1,0.0,0.01,0.02,0.0,0.1,,,,,,,,,,,32.941
2022,3.02,47.15,10.77,1.48,1.51,0.16,0.56,8.7,,,,,,,,,,,142.466
2022,2.38,39.64,7.24,0.64,0.62,0.3,1.37,6.7,,,,,,,,,,,40.0
2022,0.34,4.93,1.15,0.13,0.31,0.02,0.02,0.9,,,,,,,,,,,34.667
2022,0.04,0.36,0.48,0.01,0.05,0.0,0.02,0.3,,,,,,,,,,,37.138
2022,2.94,73.36,8.73,0.96,0.64,0.57,1.26,9.5,,,,,,,,,,,56.083
2022,0.4,6.08,0.79,0.17,0.22,0.02,0.05,0.9,,,,,,,,,,,34.835
2022,0.98,22.92,4.36,0.27,0.42,0.11,0.3,3.6,,,,,,,,,,,37.69
2022,0.63,8.46,1.54,0.25,0.23,0.04,0.13,1.4,,,,,,,,,,,34.726
2022,2.53,55.58,5.33,0.93,0.75,0.41,0.63,6.4,62.8,72.37,69.78,68.51,67.61,2619.0,848.312,26.62,2221.73,16761.600000000002,55.966
2022,2.7,70.86,3.94,0.96,0.6,0.22,0.66,6.5,,,,,,,,,,,53.553
2022,3.11,54.36,6.0,1.38,1.11,0.56,0.83,7.1,,,,,,,,,,,98.215
2022,5.0,71.24,11.8,1.78,1.21,0.57,1.67,11.1,,,,,,,,,,,70.514
2022,4.57,53.25,11.45,2.19,1.75,0.5,0.94,10.4,,,,,,,,,,,123.813
2022,2.48,46.45,6.8,0.71,0.74,0.39,1.23,6.9,,,,,,,,,,,39.138
2022,2.0,41.07,5.6,0.69,0.48,0.32,0.61,5.6,,,,,,,,,,,39.759
2022,6.58,59.38,7.71,2.59,1.57,0.93,1.14,9.4,,,,,,,,,,,67.119
2022,6.04,74.29,8.66,2.25,1.98,1.01,1.56,10.9,,,,,,,,,,,91.481
2022,7.41,56.25,9.86,1.9,1.12,0.54,1.3,9.7,,,,,,,,,,,108.435
2022,0.54,5.9,0.83,0.41,0.2,0.04,0.07,1.0,,,,,,,,,,,35.916
2022,7.23,67.16,11.55,1.75,1.64,0.97,2.5,11.9,,,,,,,,,,,57.059
2022,7.28,35.38,4.91,2.54,1.39,1.21,0.92,6.8,,,76.31,73.99,72.51,,1992.592,3990.36,,,80.698
2022,2.41,35.78,6.85,0.99,0.63,0.57,0.39,5.9,,,,,,,,,,,101.343
2022,5.0,66.73,12.51,2.55,1.36,1.02,1.15,11.6,,,,,,,,,,,105.614
2022,2.54,50.74,6.77,0.79,0.88,0.45,1.04,7.0,,,,,,,,,,,52.789
2022,3.31,54.27,4.91,1.17,0.83,0.56,0.64,6.5,,,,,,,,,,,56.21
2022,0.63,21.73,2.62,0.28,0.17,0.06,0.11,2.5,,,,,,,,,,,54.003
2022,3.5,58.97,5.27,1.27,0.72,0.97,0.67,6.9,,,,,,,,,,,100.074
2022,3.14,53.31,8.65,0.9,0.81,0.43,1.07,7.9,,,,,,,,,,,44.421
2022,4.39,55.2,7.35,1.26,1.0,0.61,1.24,8.1,,,,,,,,,,,44.188
2022,3.77,65.49,7.9,1.71,1.64,0.47,1.01,9.1,,,,,,,,,,,158.333
2022,5.43,56.56,7.88,1.66,1.17,0.74,1.18,8.7,,,,,,,,,,,45.499
